visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,columbia,Columbia,1817-08-08,1817-08-08,exact,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Columbia, 1817: Bodega 1817-08-08","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Columbia, 1817'"", ""note"": ""sailing schedule: Bodega 1817-08-08""}]",,draft
,kutusov,Kutusov,1817,1817,year,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Kutusov, 1817: Bodega 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Kutusov, 1817'"", ""note"": ""sailing schedule: Bodega 1817""}]",,draft
,kutusov,Kutusov,1817,1817,year,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Kutusov, 1817: San Francisco 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Kutusov, 1817'"", ""note"": ""sailing schedule: San Francisco 1817""}]",,draft
,bordelais,Bordelais,1818-10-20,1818-10-20,exact,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Bordelais, 1818: San Francisco 1818-10-20","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Bordelais, 1818'"", ""note"": ""sailing schedule: San Francisco 1818-10-20""}]",,draft
,kutusov,Kutusov,1818,1818,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Kutusov, 1818: Monterey 1818","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Kutusov, 1818'"", ""note"": ""sailing schedule: Monterey 1818""}]",,draft
,kutusov,Kutusov,1818,1818,year,Santa Cruz,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Kutusov, 1818: Santa Cruz 1818","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Kutusov, 1818'"", ""note"": ""sailing schedule: Santa Cruz 1818""}]",,draft
,okhotsk,Okhotsk,1818,1818,year,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Okhotsk, 1818: Bodega 1818","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Okhotsk, 1818'"", ""note"": ""sailing schedule: Bodega 1818""}]",,draft
,iimen,Iimen,1820,1820,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Iimen, 1820: Monterey 1820","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Iimen, 1820'"", ""note"": ""sailing schedule: Monterey 1820""}]",,draft
,iimen,Iimen,1820,1820,year,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Iimen, 1820: Santa Bárbara 1820","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Iimen, 1820'"", ""note"": ""sailing schedule: Santa Bárbara 1820""}]",,draft
,iimen,Iimen,1820,1820,year,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Iimen, 1820: San Francisco 1820","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Iimen, 1820'"", ""note"": ""sailing schedule: San Francisco 1820""}]",,draft
,eagle,Eagle,1821,1821,year,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: Bodega 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: Bodega 1821""}]",,draft
,eagle,Eagle,1821-09-03,1821-09-03,exact,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: San Francisco 1821-09-03","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: San Francisco 1821-09-03""}]",,draft
,eagle,Eagle,1821,1821,year,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: Santa Bárbara 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: Santa Bárbara 1821""}]",,draft
,eagle,Eagle,1821,1821,year,Santa Catalina I.,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: Santa Catalina I. 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: Santa Catalina I. 1821""}]",,draft
,eagle,Eagle,1821,1821,year,San Diego,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: San Diego 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: San Diego 1821""}]",,draft
,eagle,Eagle,1821,1821,year,San Pedro,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: San Pedro 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: San Pedro 1821""}]",,draft
,eagle,Eagle,1821,1821,year,San Juan Capistrano,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Eagle, 1821: San Juan Capistrano 1821","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Eagle, 1821'"", ""note"": ""sailing schedule: San Juan Capistrano 1821""}]",,draft
,ann,Ann,1823,1823,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Ann, 1823: Monterey 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Ann, 1823'"", ""note"": ""sailing schedule: Monterey 1823""}]",,draft
,ann,Ann,1823,1823,year,San Luis Obispo,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Ann, 1823: San Luis Obispo 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Ann, 1823'"", ""note"": ""sailing schedule: San Luis Obispo 1823""}]",,draft
,ann,Ann,1823,1823,year,San Blas,baja,,,otter,arrived,port-call?,1,"[Ogden itinerary] Ann, 1823: San Blas 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Ann, 1823'"", ""note"": ""sailing schedule: San Blas 1823""}]",,draft
,becket,Becket,1824,1824,year,San Pedro,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Becket, 1824: San Pedro 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Becket, 1824'"", ""note"": ""sailing schedule: San Pedro 1824""}]",,draft
,owhyhee,Owhyhee,1824,1824,year,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Owhyhee, 1824: Bodega 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Owhyhee, 1824'"", ""note"": ""sailing schedule: Bodega 1824""}]",,draft
,owhyhee,Owhyhee,1824,1824,year,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Owhyhee, 1824: San Francisco 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Owhyhee, 1824'"", ""note"": ""sailing schedule: San Francisco 1824""}]",,draft
,owhyhee,Owhyhee,1824,1824,year,San Pedro,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Owhyhee, 1824: San Pedro 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Owhyhee, 1824'"", ""note"": ""sailing schedule: San Pedro 1824""}]",,draft
,owhyhee,Owhyhee,1824,1824,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Owhyhee, 1824: Monterey 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Owhyhee, 1824'"", ""note"": ""sailing schedule: Monterey 1824""}]",,draft
