visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,june,,1792,1792,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] ; but this document was probably intended for Ilomeu since Nava first announces knowl- edge of Romeu's death on June 17th. St. Pap., Sac, ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1792)"", ""note"": ""; but this document was probably intended for Ilomeu since Nava first announces knowl- edge of Romeu's death on June 17th. St. Pap., Sac, MS""}]",,draft
,june,,1793,1793,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] economically as jjossible. /(/. ,xii. lSO-1. Ihe documentoi Dec. 2Sth, in NnevaEspafia, Acu- crdos, MS., 13, 14. June 9th, V. R. to gov., ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1793)"", ""note"": ""economically as jjossible. /(/. ,xii. lSO-1. Ihe documentoi Dec. 2Sth, in NnevaEspafia, Acu- crdos, MS., 13, 14. June 9th, V. R. to gov., ha""}]",,draft
,june,,1794,1794,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] o, MS., i. 34. December 1, 1791, authorization of Capuchin collection by general. Prov. Si. Pap., MS., xi. 23. June C, 1794, viceroy ackno","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1794)"", ""note"": ""o, MS., i. 34. December 1, 1791, authorization of Capuchin collection by general. Prov. Si. Pap., MS., xi. 23. June C, 1794, viceroy acknowl""}]",,draft
,june,,1794,1794,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] apprehended.^^ The Concepciun, Menendez in command, brought up the supplies and five padrerj to San Francisco in June, and during the year","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1794)"", ""note"": ""apprehended.^^ The Concepciun, Menendez in command, brought up the supplies and five padrerj to San Francisco in June, and during the year v""}]",,draft
,june,,1795,1795,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] lete the provisional esplanade. Id., xi. 174. Jan. 10th, vice- roy's orders to use fascines and reduce expenses. June 12th, governor's rep","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1795)"", ""note"": ""lete the provisional esplanade. Id., xi. 174. Jan. 10th, vice- roy's orders to use fascines and reduce expenses. June 12th, governor's reply""}]",,draft
,june,,1795,1795,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] fused, because the coun- try was ""almost unknown,"" the natives perverse, and the adventure too hazardous.^ Before June Sergeant Pedro Amad","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1795)"", ""note"": ""fused, because the coun- try was \""almost unknown,\"" the natives perverse, and the adventure too hazardous.^ Before June Sergeant Pedro Amador""}]",,draft
,june,,1796,1796,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] dcnce fired a salute of 11 guns on entering and the battery responded. According to Id., vi. 85-G, she sailed June ISth; but rxcording to ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1796)"", ""note"": ""dcnce fired a salute of 11 guns on entering and the battery responded. According to Id., vi. 85-G, she sailed June ISth; but rxcording to Pr""}]",,draft
,june,,1797,1797,year,San Diego,alta,,,,,port-call?,1,[HoC sweep] erez Grijalva had some trouble with the natives on the frontier between San Diego and San Miguel. This was in June and one or two sav- age,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1797)"", ""note"": ""erez Grijalva had some trouble with the natives on the frontier between San Diego and San Miguel. This was in June and one or two sav- ages ""}]",,draft
,june,,1797,1797,year,San Francisco,alta,,,,,port-call?,1,[HoC sweep] IGN RELATIONS. a fight in October between pagans and neophytes in which lives were lost on both sides.*'' In June 1797 thirty neophytes we,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1797)"", ""note"": ""IGN RELATIONS. a fight in October between pagans and neophytes in which lives were lost on both sides.*'' In June 1797 thirty neophytes were""}]",,draft
,june,,1798,1798,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] , sends SI, COO as a personal contribution. Prov. Pec, MS., vi. US. Same date to coniinainlants. LI., iv. 170. June 20, account of results","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1798)"", ""note"": "", sends SI, COO as a personal contribution. Prov. Pec, MS., vi. US. Same date to coniinainlants. LI., iv. 170. June 20, account of results. ""}]",,draft
,june,,1798,1798,year,Santa Bárbara,alta,,,,,port-call?,1,"[HoC sweep]  France, who reigned from 1226 to 1270, and earned his reputation for piety both at home and in the cnisades. June loth, Lasuen to Borica ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1798)"", ""note"": "" France, who reigned from 1226 to 1270, and earned his reputation for piety both at home and in the cnisades. June loth, Lasuen to Borica re""}]",,draft
,june,,1799,1799,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  padres, having on board Alf(5rez Lujan and Lieut. Suarcz; arrived at San Francisco April 14th; was at Monterey June 2Sth; left Monterey S","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1799)"", ""note"": "" padres, having on board Alf(5rez Lujan and Lieut. Suarcz; arrived at San Francisco April 14th; was at Monterey June 2Sth; left Monterey Sep""}]",,draft
,june,,1802,1802,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  May two large vessels and a small one were sighted off the coast between Monterey and Santa Bdrbara,^ and in June the American ship Enter","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1802)"", ""note"": "" May two large vessels and a small one were sighted off the coast between Monterey and Santa Bdrbara,^ and in June the American ship Enterpr""}]",,draft
,june,,1803,1803,year,Loreto,alta,,,,,port-call?,1,"[HoC sweep] he fact of his residence in California with the Catalan volunteers. He was, however, promoted to be captain on June 10, 1803, just before ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1803)"", ""note"": ""he fact of his residence in California with the Catalan volunteers. He was, however, promoted to be captain on June 10, 1803, just before hi""}]",,draft
,june,,1803,1803,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  rates of freight, as must also mission exports, ,the invoices of mission and presidio supjilies being exemjit. June 20, 1803, Arrillaga t","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1803)"", ""note"": "" rates of freight, as must also mission exports, ,the invoices of mission and presidio supjilies being exemjit. June 20, 1803, Arrillaga to ""}]",,draft
,june,,1803,1803,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep]  claim- -^ April 30, 1S02, Castro to Carrillo; May 3d, Carrillo to governor. Prov. St. Pap., MS., xviii. 165. June lltli, Arrillaga to Car","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1803)"", ""note"": "" claim- -^ April 30, 1S02, Castro to Carrillo; May 3d, Carrillo to governor. Prov. St. Pap., MS., xviii. 165. June lltli, Arrillaga to Carri""}]",,draft
