ship,name,entry,date_from,date_to,conf,anchorage,offshore
pedler,Pedler,"Pedler, 1814",1814,1814,year,Bodega,False
pedler,Pedler,"Pedler, 1814",1814,1814,year,San Luis Obispo,False
forester,Forester,"Forester, 1814-1815",1814,1814,year,Loreto,False
forester,Forester,"Forester, 1814-1815",1814,1814,year,San Diego,True
forester,Forester,"Forester, 1814-1815",1814,1814,year,Bodega,False
ilmen,Ilmen,"Ilmen, 1815",1815,1815,year,San Pedro,True
ilmen,Ilmen,"Ilmen, 1815",1815,1815,year,San Pedro,True
ilmen,Ilmen,"Ilmen, 1815",1815,1815,year,San Luis Obispo,False
ilmen,Ilmen,"Ilmen, 1815",1815,1815,year,Refugio,True
ilmen,Ilmen,"Ilmen, 1815",1815,1815,year,Bodega,False
albatross,Albatross,"Albatross, 1816",1816,1816,year,Santa Bárbara,True
albatross,Albatross,"Albatross, 1816",1816,1816,year,Refugio,False
atala,Atala,"Atala, 1816",1816,1816,year,Monterey,False
lydia,Lydia,"Lydia, 1816",1816,1816,year,Fort Ross,False
lydia,Lydia,"Lydia, 1816",1816,1816,year,Refugio,False
lydia,Lydia,"Lydia, 1816",1816-02-02,1816-02-02,exact,Santa Bárbara,False
lydia,Lydia,"Lydia, 1816",1816,1816,year,Monterey,False
lydia,Lydia,"Lydia, 1816",1816-03-15,1816-03-15,exact,Santa Bárbara,False
sultan,Sultan,"Sultan, 1816",1816,1816,year,San Luis Obispo,False
sultan,Sultan,"Sultan, 1816",1816,1816,year,Monterey,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Bodega,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Santa Bárbara,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,San Diego,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,San Quintín,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Loreto,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Monterey,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,San Luis Obispo,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Santa Bárbara,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Santa Bárbara,False
traveller,Traveller,"Traveller, 1816-1817",1816,1816,year,Loreto,False
avon,Avon,"Avon, 1817",1817,1817,year,San Pedro,False
avon,Avon,"Avon, 1817",1817,1817,year,Santa Bárbara,False
bordeaux packet,Bordeaux Packet,"Bordeaux Packet, 1817",1817,1817,year,Loreto,True
bordeaux packet,Bordeaux Packet,"Bordeaux Packet, 1817",1817,1817,year,San Juan Capistrano,False
bordeaux packet,Bordeaux Packet,"Bordeaux Packet, 1817",1817,1817,year,San Luis Obispo,False
bordelais,Bordelais,"Bordelais, 1817",1817,1817,year,San Francisco,False
bordelais,Bordelais,"Bordelais, 1817",1817,1817,year,Bodega,False
bordelais,Bordelais,"Bordelais, 1817",1817-11-20,1817-11-20,exact,San Francisco,False
chirtkov,Chirtkov,"Chirtkov, 1817",1817,1817,year,Bodega,False
chirtkov,Chirtkov,"Chirtkov, 1817",1817,1817,year,San Francisco,False
chirtkov,Chirtkov,"Chirtkov, 1817",1817,1817,year,Monterey,False
