ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
santa rosa,1804,San Francisco,1,False,new-candidate,1,174373,"1838; A Narrative of Events and Difficulties. Boston, 1852. Kelly (George Fox), Land Frauds of California. Santa Rosa, 1804. Kelly (William), An Excursion to Califoi-nia. London, 1851. 2 vols. Kendrick (John), Correspon'",weak-new,"known ship, undated narrative mention"
santa rosa,1805,,1,True,new-candidate,2,120933," 122 adults respectively. The men are naked, live on fish, and are eager for a mission. The natives of Huina (Santa Rosa) Island— where there are se^■en rancherias, the largest with 120 adults, but no facilities for a mi",strong-new,"known ship, dated HoC event, no existing row that year"
santa rosa,1819,Monterey,1,False,new-candidate,2,670400,"m I have been unable to learn anything beyond his con- nection with this expedition. The smaller vessel is the Santa Rosa, Libertad, or the ' fragata chica,' with twenty-six guns, under Lieutenant Pedro Conde. Both had s",weak-new,"known ship, undated narrative mention"
santa rosa,1821,,2,False,new-candidate,2,1349882,"d to hav^e been three and a half leagues n. \v. from the site of the modern Petaluma, that is not far from Santa Rosa. AUi- mira, Diario, MS.; Sanchez, Diario, MS.; see also chap. xxii. of this volume. ^' Names on this l",weak-new,"known ship, undated narrative mention"
santa rosa,1830,,1,False,new-candidate,2,1528256,"cal very likely with the Libantilaycmi of former records, and ap- parently somewhere in the region of the modem Santa Rosa. SONORA AND CALIFORNIA. B07 the expedition, consisting of twenty-five men under Alferez Santiago ",weak-new,"known ship, undated narrative mention"
santa rosa,1846,San Francisco,1,False,new-candidate,1,77991,"old Hunter's Manual. New York, 1852. Bowen (Asa M.), Statement on San Pascual, 1846. MS. Bowers (Stephen), Santa Rosa Island. In Smithsonian Report, 1877. Bowie (Aug. J.). Hydraulic Mining in California. San Francisco, 1",weak-new,"known ship, undated narrative mention"
santiago,1770,Monterey,1,True,new-candidate,1,903842,"emporarily at Monterey. June 6th everything being ready at Monterey the padres went on board, and next day the Santiago attempted to sail, but was prevented by contrary winds. On the 8th the arrival of the San Antonio fr",strong-new,"known ship, dated HoC event, no existing row that year"
santiago,1773,San Diego,2,False,new-candidate,1,880434,"ill in command. The regular supplies for the northern missions, with a part of the pittance, are taken by the Santiago, Captain Perez, who has orders to undertake explorations to the north of Mon- terey. Supplies for San",weak-new,"known ship, undated narrative mention"
santiago,1774,,2,False,new-candidate,1,881776," cited, see Pahm, Vida, 150-9. It is related that when Serra arrived in San Bias from California and saw the Santiago in the dock-yard, he remarked that ha would return in her, a remark that excited some ridicule, becaus",weak-new,"known ship, undated narrative mention"
santiago,1774,Loreto,1,True,new-candidate,1,879610,"Padre Pablo Mugartegui, sets out in September for the west coast. At Topic he waits until the new vessel, the Santiago or JVueva Galicia, is ready for sea, Avhich is not until January 24, 1774. In addition to the article",strong-new,"known ship, dated HoC event, no existing row that year"
santiago,1777,Monterey,1,True,attach,1,1086186," had come to live at Monterey, and wished to make a per- sonal inspection of the famous port.-^ May 12th the Santiago, under Ignacio Arteaga, with Francisco Castro as master, and Nocedal as chaplain, entered the harbor w",auto-attach,ship+year already in registry; HoC corroboration
santiago,1777,San Diego,1,False,attach,1,1124510,". permit that navigator to enter any Californian port.''' The transports of 1777 were the San Antonio and the Santiago. The former mider Francisco Villaroel, with Serra as chaplain, arrived at San Diego in l\Iay with sup",auto-attach,ship+year already in registry; HoC corroboration
santiago,1778,San Diego,1,True,attach,1,1172374,"sels of 1778 were the San Carlos, which arrived at San Diego in May, returning at once to San Bias; and the Santiago, under Captain Juan Manuel de Ayala, pilotos Castro and Aguirre, and chaplain Nocedal, which anchored a",auto-attach,ship+year already in registry; HoC corroboration
santiago,1784,San Francisco,1,False,new-candidate,1,1233748,"completed in 1784. The supply-ship did not arrive this year, because on account of troubles with England^' the Santiago was obliged to make a trip to Lima for quicksilver. A small transport was laden at San Bias, but pro",weak-new,"known ship, undated narrative mention"
santiago,1796,Monterey,1,True,new-candidate,1,2358794,"fe, Dona Maria ]\Iagda- lena de Urquides, had large estates in Nueva Vizcaya.* Being a knight of the order of Santiago he acted on May 5, 1796, as grand master at the initiation of the Spanish naval officer Don Ramon de ",strong-new,"known ship, dated HoC event, no existing row that year"
santiago,1810,,2,False,new-candidate,2,481501,"ber. Prov. Rec, MS., ix. 115, 117. In 1810 the arrivals were Marquinez and Panto; the departures, Carranza and Santiago; and the deaths Cipr^s and Landaeta. ^ Not much reliance can be put in accuracy of this division: 12",weak-new,"known ship, undated narrative mention"
santiago,1817,Refugio,1,False,new-candidate,2,820228,"d to the reader.'^^ Comandante Guerra immediately proceeded to Refugio, and with the aid of Carlos Carrillo and Santiago Argiiello arrested the two captains with a few men who had landed in boats. Possession was at once ",weak-new,"known ship, undated narrative mention"
santiago,1823,,1,False,new-candidate,2,1570356,"oiint of Argiiello to be shipped by Rover. Id., xxviii. 329-30. Fernandez, Cosas de Cal., MS., 23-7, says that Santiago Estrada and Marcelino Escobar sailed with Cooper. J. J. Vallejo, Heminiscencias, MS., 86, tells us t",weak-new,"known ship, undated narrative mention"
santiago,1824,San Francisco,1,False,new-candidate,2,1589844,"by lists of foreigners in later years, but with no details of vessels, are the following: David Littlejohn and Santiago McFerion, Scotch; Joseph Daniel Ferguson, Irish; Joseph Dilen, or Dillon, American; Mathew ^'>De2n. ",weak-new,"known ship, undated narrative mention"
santiago,1827,San Diego,1,False,new-candidate,2,1632408," he became comandante on the retirement of Ruiz in 1827. At the end of that year Estudillo was made captain, Santiago Argiiello becoming lieutenant at the same time. For a time in 1828-9 Estudillo was noted on the compan",weak-new,"known ship, undated narrative mention"
saturnina,1794,,1,True,attach,1,1759441,"spec- tive difficulties of the peninsula route in time of drought, the plan was changed. All went on board the Saturnina July 20th, and four da_ys later set sail for San Luis Bay far up the gulf. The winds and other circ",auto-attach,ship+year already in registry; HoC corroboration
senoriano,1821,Sitka,1,True,attach,2,1319800,"» The Russian brig Golovnin, with cargo of goods from Sitka, at Saxi; Fran- cisco in Feb.-March; duties, $529. Senoriano, Spanish brig, Capt. Juan Malarin, from San Bias with dry goods, hardware, etc. Arrived at Monterey",auto-attach,ship+year already in registry; HoC corroboration
slocldon,1848,,1,False,new-candidate,2,2355413,"albot's garrison at Sta B. iv. 583; v. 310. B. (Geo.), 1847, mr of the Isa- hclla. v. 511. Briggs, 1848, of sloop Slocldon I'unning from S. F. to Sonoma. V. 646. Brigham (E. R.), 1847, Co. B, N.Y. Vol. (v. 400). . Brinck",noise,"unknown ship, undated mention"
snipe,1821,San Francisco,1,True,new-candidate,2,1429009,"., having probably remained since December 1821. Again in December she returned with a cargo to San Francisco. Snipe. EngHsh brig; A. Haig, master; at Monterey from end of May until late in June, when she sailed down the",strong-new,"known ship, dated HoC event, no existing row that year"
sonora,1769,,2,False,new-candidate,1,603713,"North Mexican States, vol. i., this series. VISITADOPv AND PRESIDENT. 117 for the transportation of troops to Sonora, and tlie co- mandante at San Bias had orders to fit them out and send them over to La Paz with the lea",weak-new,"known ship, undated narrative mention"
sonora,1774,Monterey,1,False,new-candidate,1,878597,"that is in August, Bucareli also authorized Captain Juan Bau- tista de Anza to attempt the overland route from Sonora to Monterey, and that oflficer after some delays began his march from Tubac in the following January. ",weak-new,"known ship, undated narrative mention"
sonora,1775,Bodega,1,False,attach,2,2313082,"U. S. artill. (v. 518). Bodega y Cuadra (Juan Francisco), 1775, Span, lieut in com. of the explor- ing vessel Sonora, discovering and naming Bodega bay. i. 241-3, 518; ii. 81; in 1779 com. of the Favorlta. i. 329; in 179",auto-attach,ship+year already in registry; HoC corroboration
