visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,pocahontaa,Pocahontaa,1825,1830,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Pocahontaa: usa 302t John  Bradshaw master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 302t John  Bradshaw, master;  (1825-30)""}]",,draft
,poifcifla,Poifcifla,1829,1829,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Poifcifla:  323t Cooper master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? 323t Cooper, master;  (1825-30)""}]",,draft
,solitude,Solitude,1825,1826,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Solitude: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa  (1825-30)""}]",,draft
,tartar,Tartar,1825,1828,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Tartar: usa 301t Benj.  Morrell master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 301t Benj.  Morrell, master;  (1825-30)""}]",,draft
,times,Times,1828,1828,year,,alta,britain,stated,,,unlocated,1,[Bancroft list 1825-30] Times: britain 407t Wm  Ross master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""britain 407t Wm  Ross, master;  (1825-30)""}]",,draft
,timorelan,Timorelan,1825,1827,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Timorelan:  160t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? 160t  (1825-30)""}]",,draft
,verale,Verale,1828,1830,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Verale: usa 140t Wm  Deny master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 140t Wm  Deny, master;  (1825-30)""}]",,draft
,warren,Warren,1826,1829,year,Monterey,alta,usa,stated,,,port-call?,1,[Bancroft list 1825-30] Warren: usa Wm  Rice master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa Wm  Rice, master; at Monterey (1825-30)""}]",,draft
,washinfjton,Washinfjton,1825,1830,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Washinfjton: usa 140t Robt  Elwell master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 140t Robt  Elwell, master;  (1825-30)""}]",,draft
,whafeman,Whafeman,1825,1830,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Whafeman:  316t Jos.  Paddock master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? 316t Jos.  Paddock, master;  (1825-30)""}]",,draft
,wilminfjton,Wilminfjton,1825,1829,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Wilminfjton: usa 364t John  Bon master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 364t John  Bon, master;  (1825-30)""}]",,draft
,american,American,1832,1834,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] American:  88t Wm  S.  Hinckley master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? 88t Wm  S.  Hinckley, master;  (1831-5)""}]",,draft
,balavcfi,Balavcfi,1832,1833,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Balavcfi:  Ed  Daggett master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? Ed  Daggett, master;  (1831-5)""}]",,draft
,bolivar,Bolivar,1832,1835,year,Monterey,alta,usa,stated,,,port-call?,1,[Bancroft list 1831-5] Bolivar: usa 212t Nye master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 212t Nye, master; at Monterey (1831-5)""}]",,draft
,california,California,1831,1835,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] California: usa 379t Jas  Arther master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 379t Jas  Arther, master;  (1831-5)""}]",,draft
,chalcedony,Chalcedony,1832,1835,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Chalcedony: usa 219t Jos  Steel master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 219t Jos  Steel, master;  (1831-5)""}]",,draft
,diana,Diana,1832,1835,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Diana: usa 170t John  Meek master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 170t John  Meek, master;  (1831-5)""}]",,draft
,enriqueta,Enriqueta,1833,1835,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Enriqueta: usa 62t Santiago  Johnson master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 62t Santiago  Johnson, master;  (1831-5)""}]",,draft
,fanny,Fanny,1831,1835,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Fanny:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""?  (1831-5)""}]",,draft
,friend,Friend,1832,1832,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Friend: usa 404t L.  B.  Blindenburg master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 404t L.  B.  Blindenburg, master;  (1831-5)""}]",,draft
,gange,Gange,1835,1835,year,Monterey,alta,,,,,port-call?,1,[Bancroft list 1831-5] Gange:  170t Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? 170t at Monterey (1831-5)""}]",,draft
,guadidupc,Guadidupc,1831,1831,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Guadidupc:  60t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? 60t  (1831-5)""}]",,draft
,harriet dlanchard,Harriet Dlanchard,1829,1833,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Harriet Dlanchard: usa 06t Carter master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 06t Carter, master;  (1831-5)""}]",,draft
,josephine,Josephine,1832,1835,year,Monterey,alta,,,,,port-call?,1,[Bancroft list 1831-5] Josephine:  Benito  Machado master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? Benito  Machado, master; at Monterey (1831-5)""}]",,draft
,kitty,Kitty,1833,1833,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Kitty:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""?  (1831-5)""}]",,draft
,lagoda,Lagoda,1833,1835,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Lagoda: usa 202t John  Bradshaw master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 202t John  Bradshaw, master;  (1831-5)""}]",,draft
,leon,Leon,1835,1835,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Leon:  Bonnet master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? Bonnet, master;  (1831-5)""}]",,draft
,leanidas,Leanidas,1833,1833,year,,alta,mexico,stated,,,unlocated,1,[Bancroft list 1831-5] Leanidas: mexico Malarin master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""mexico Malarin, master;  (1831-5)""}]",,draft
,lfonor,Lfonor,1831,1835,year,,alta,mexico,stated,,,unlocated,1,[Bancroft list 1831-5] Lfonor: mexico 207t Henry  D.  Fitch master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""mexico 207t Henry  D.  Fitch, master;  (1831-5)""}]",,draft
,mcujruder,Mcujruder,1834,1834,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1831-5] Mcujruder: usa 15t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 15t  (1831-5)""}]",,draft
,marcus,Marcus,1831,1831,year,,alta,,,,,unlocated,1,[Bancroft list 1831-5] Marcus:  286t N.  S.  Bassett master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""? 286t N.  S.  Bassett, master;  (1831-5)""}]",,draft
,matador,Matador,1835,1835,year,,alta,mexico,stated,,,unlocated,1,[Bancroft list 1831-5] Matador: mexico ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""mexico  (1831-5)""}]",,draft
,newcastle,Newcastle,1832,1834,year,Monterey,alta,usa,stated,,,port-call?,1,[Bancroft list 1831-5] Newcastle: usa 388t Stephen  Hersey master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1831-5'"", ""note"": ""usa 388t Stephen  Hersey, master; at Monterey (1831-5)""}]",,draft
